x,y,intensity,area
1.997034e+03,4.732809e+02,nan,nan
3.279971e+03,5.002846e+02,nan,nan
3.492457e+03,5.047369e+02,nan,nan
3.671576e+03,5.141234e+02,nan,nan
2.222351e+03,5.377646e+02,nan,nan
2.531782e+03,5.174086e+02,nan,nan
3.085629e+03,5.195086e+02,nan,nan
3.616639e+03,5.225950e+02,nan,nan
2.302241e+03,5.256248e+02,nan,nan
2.756533e+03,5.201233e+02,nan,nan
2.643864e+03,5.350784e+02,nan,nan
2.706256e+03,5.553012e+02,nan,nan
3.268249e+03,5.516850e+02,nan,nan
3.557513e+03,5.475087e+02,nan,nan
2.355380e+03,5.542686e+02,nan,nan
2.076668e+03,5.607520e+02,nan,nan
2.641304e+03,5.866951e+02,nan,nan
3.100842e+03,5.754184e+02,nan,nan
3.363335e+03,5.769013e+02,nan,nan
2.811863e+03,5.710191e+02,nan,nan
2.515138e+03,5.896980e+02,nan,nan
3.461225e+03,5.775549e+02,nan,nan
2.270181e+03,5.917324e+02,nan,nan
3.822729e+03,5.919076e+02,nan,nan
3.581881e+03,6.032150e+02,nan,nan
2.750305e+03,6.120673e+02,nan,nan
3.732786e+03,6.062965e+02,nan,nan
3.949608e+03,6.079479e+02,nan,nan
3.632953e+03,6.018430e+02,nan,nan
2.016219e+03,6.308929e+02,nan,nan
3.436616e+03,6.257246e+02,nan,nan
2.230501e+03,6.347589e+02,nan,nan
2.853047e+03,6.456196e+02,nan,nan
3.658640e+03,6.334965e+02,nan,nan
2.714198e+03,6.569812e+02,nan,nan
3.225294e+03,6.610904e+02,nan,nan
2.765941e+03,6.707919e+02,nan,nan
3.141289e+03,6.574308e+02,nan,nan
3.383460e+03,6.650397e+02,nan,nan
3.694086e+03,6.745051e+02,nan,nan
2.796596e+03,6.743155e+02,nan,nan
3.090221e+03,6.650519e+02,nan,nan
2.600261e+03,6.699111e+02,nan,nan
2.485217e+03,6.717446e+02,nan,nan
3.844714e+03,6.778925e+02,nan,nan
2.055504e+03,6.939859e+02,nan,nan
3.166436e+03,7.064745e+02,nan,nan
3.312812e+03,7.001190e+02,nan,nan
2.337854e+03,6.997054e+02,nan,nan
2.395748e+03,7.072722e+02,nan,nan
2.539364e+03,7.105101e+02,nan,nan
3.792751e+03,7.165716e+02,nan,nan
2.481139e+03,7.195075e+02,nan,nan
3.361927e+03,7.287074e+02,nan,nan
2.157669e+03,7.200320e+02,nan,nan
3.259685e+03,7.363644e+02,nan,nan
3.598603e+03,7.185358e+02,nan,nan
3.665509e+03,7.290420e+02,nan,nan
3.731572e+03,7.310059e+02,nan,nan
2.310870e+03,7.479388e+02,nan,nan
3.116993e+03,7.387430e+02,nan,nan
3.507799e+03,7.359301e+02,nan,nan
2.357203e+03,7.516556e+02,nan,nan
3.564520e+03,7.636433e+02,nan,nan
2.869217e+03,7.630542e+02,nan,nan
1.985149e+03,7.552434e+02,nan,nan
3.152563e+03,7.894941e+02,nan,nan
3.407071e+03,7.809382e+02,nan,nan
2.040087e+03,7.992569e+02,nan,nan
2.105206e+03,7.943180e+02,nan,nan
3.490520e+03,7.910562e+02,nan,nan
3.716822e+03,7.985932e+02,nan,nan
2.167921e+03,7.952699e+02,nan,nan
2.231358e+03,8.031248e+02,nan,nan
2.956768e+03,8.066640e+02,nan,nan
3.906533e+03,8.077951e+02,nan,nan
3.335561e+03,8.097370e+02,nan,nan
2.696694e+03,8.115838e+02,nan,nan
3.628759e+03,8.022569e+02,nan,nan
2.815036e+03,8.212218e+02,nan,nan
3.545092e+03,8.252580e+02,nan,nan
2.523890e+03,8.308635e+02,nan,nan
2.193993e+03,8.476242e+02,nan,nan
3.095531e+03,8.294066e+02,nan,nan
3.769736e+03,8.275934e+02,nan,nan
2.113260e+03,8.545075e+02,nan,nan
2.426618e+03,8.392563e+02,nan,nan
2.041658e+03,8.470540e+02,nan,nan
