"","x","y","intensity","area","id","color","acronym","right.left","rostral.caudal","anterior.posterior"
"14051",5701.375,4694.452,1444.5,1444.5,19,"#225ea8","LV",361.424113130611,406.332345464956,295
"14052",5873.275,4691.82,3731,3731,19,"#225ea8","LV",366.599767507352,413.183988981127,295
"14053",5507.185,4702.539,1359.5,1359.5,19,"#225ea8","LV",352.623547553308,395.172936632817,295
"14054",5020.25,4707.15,732,732,19,"#225ea8","LV",277.063371698392,319.786316462545,295
"14055",5132.995,4701.3935,1611.5,1611.5,19,"#225ea8","LV",290.384861553007,331.127402663173,295
"14056",5038.225,4706.7025,1179,1179,19,"#225ea8","LV",278.033839390514,320.256500958576,295
"14057",4996.2405,4714.004,2064.5,2064.5,19,"#225ea8","LV",273.894713927861,317.17657393878,295
"14058",5312.955,4708.749,2550,2550,19,"#225ea8","LV",333.466359044916,373.194704995604,295
"14059",5482.505,4715.4775,3124.5,3124.5,19,"#225ea8","LV",350.619411621521,393.013525929299,295
"14060",5679.14,4710.4715,2363,2363,19,"#225ea8","LV",360.075972958786,404.926908248844,295
"14061",5950.89,4713.4285,4355.5,4355.5,19,"#225ea8","LV",367.893749343964,415.775204376101,295
"14062",5245.625,4716.874,1082.5,1082.5,19,"#225ea8","LV",317.549241176401,357.276506068985,295
"14063",5719.245,4716.6845,1545,1545,19,"#225ea8","LV",361.288536112102,406.598797889851,295
"14064",5277.86,4707.7035,3016,3016,19,"#225ea8","LV",327.560887806798,367.288652796222,295
"14065",5581.16,4712.148,3309.5,3309.5,19,"#225ea8","LV",355.949037208098,399.4109166231,295
"14066",5831.095,4720.045,4056,4056,19,"#225ea8","LV",364.68056958788,411.303165359005,295
"14067",5189.505,4719.0175,686,686,19,"#225ea8","LV",299.723607348409,340.257923749439,295
"14068",5747.93,4717.358,1690.5,1690.5,19,"#225ea8","LV",362.179250434397,407.955928008317,295
"14069",5098.24,4720.7955,1941,1941,19,"#225ea8","LV",284.273859920928,326.29168627434,295
"14070",5075.33,4719.47,3248,3248,19,"#225ea8","LV",281.616579191176,323.831712054035,295
"14071",5378.635,4719.419,3670,3670,19,"#225ea8","LV",342.310162313708,383.53945206827,295
"14072",5126.86,4730.6265,2075.5,2075.5,19,"#225ea8","LV",287.42611493433,329.400045289414,295
"14073",5794.8,4733.4095,5123,5123,19,"#225ea8","LV",363.159882114027,409.737752983527,295
